id,website,topic,subtopic,term,positive/negative,new_terms
1,chegg.com,privacy policy,user information collection,"When you create a user account, we collect your name, email address, username, and password and we may ask you to optionally provide demographic or other information such as your school, gender, age or birthdate, zip code, and information about your interests and preferences.",,account email address user school code preference demographic name provide age gender birthdate ask zip create may password optionally information collect username interest
2,chegg.com,privacy policy,user information collection,"You may have the opportunity to create a profile which may include photographs, information about your academic and work history, and your interests and activities.",,photograph history work academic opportunity include profile create may information activity interest
3,chegg.com,privacy policy,user information collection,"When you register to be a tutor, we will collect information from you such as your education and employment history, phone number, photo, country of residence, and information we need to process payments to you, such as your bank account information, social security number, or taxpayer identification number, as necessary to facilitate payment and to comply with related legal obligations.",,register tutor obligation account country need comply residence phone number history employment taxpayer related necessary facilitate payment bank process identification education social security information legal photo collect
4,chegg.com,privacy policy,user information collection,"We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter or loyalty program, request customer or technical support, apply for a job, or otherwise communicate with us.",,register email address otherwise customer job loyalty phone mailing program number apply request u support newsletter service technical communicate information collect personal
5,chegg.com,privacy policy,user information collection,"The Services may allow community members to communicate and collaborate with each other, including some Services that allow community members to engage in one-on-one communication using a video chat or text chat feature. ",,communication allow text community collaborate service may member video communicate chat feature engage including using
6,chegg.com,privacy policy,user information collection,"Our servers may record, and we may retain records of the content of any such user-to-user communications.",,retain may content communication server record
7,chegg.com,privacy policy,user information collection,We will process your payment information if you purchase products or services through our Services and  we do not store payment credit or debit card numbers.,,number product debit payment service process store information credit purchase card
8,chegg.com,privacy policy,user information collection,"If you utilize the Services in a way that necessitates payment from Chegg to you (such as offering services for sale through Chegg or participating in research projects), we may collect additional information from you, such as your bank account information, social security number, or taxpayer identification number, as necessary to facilitate payment and to comply with related legal obligations.",,obligation account project comply number taxpayer related chegg necessary facilitate payment bank service identification additional may offering utilize social security way participating information legal research collect sale necessitates
9,chegg.com,privacy policy,user information collection,"We may contact you to participate in surveys and if you decide to participate, you may be asked to provide certain information which may include personal information.",,decide survey asked provide include certain may information personal participate contact
10,chegg.com,privacy policy,user information collection," We may offer forums, blogs, or social media pages and any content you provide on these channels will be considered “public” and is not subject to privacy protections.",,subject privacy provide protection considered channel offer may social content forum medium page public blog
